Day,Time,Load
1,7:30,807.84
2,7:30,840.74
3,7:30,909.14
4,7:30,875.34
5,7:30,801.74
6,7:30,853.04
7,7:30,920.24
8,7:30,870.24
9,7:30,940.64
10,7:30,910.54
11,7:30,979.54
12,7:30,1023.14
13,7:30,1034.74
14,7:30,956.24
15,7:30,853.44
16,7:30,693.74
17,7:30,794.84
18,7:30,741.74
19,7:30,879.74
20,7:30,772.84
21,7:30,828.54
22,7:30,749.94
23,7:30,915.74
24,7:30,897.74
25,7:30,832.34
26,7:30,722.34
27,7:30,957.74
28,7:30,919.44
29,7:30,873.63
30,7:30,910.24
31,7:30,538.24
1,8:00,767.54
2,8:00,876.74
3,8:00,918.54
4,8:00,901.84
5,8:00,748.94
6,8:00,871.04
7,8:00,905.14
8,8:00,874.04
9,8:00,950.34
10,8:00,935.94
11,8:00,974.94
12,8:00,1007.24
13,8:00,1023.54
14,8:00,961.94
15,8:00,912.54
16,8:00,868.74
17,8:00,756.34
18,8:00,742.54
19,8:00,865.04
20,8:00,172.34
21,8:00,876.74
22,8:00,768.94
23,8:00,1860.74
24,8:00,876.34
25,8:00,823.34
26,8:00,918.24
27,8:00,949.44
28,8:00,855.54
29,8:00,856.44
30,8:00,950.64
31,8:00,765.84
1,9:00,735.64
2,9:00,880.74
3,9:00,933.04
4,9:00,904.24
5,9:00,728.74
6,9:00,872.74
7,9:00,924.54
8,9:00,862.84
9,9:00,946.33
10,9:00,970.24
11,9:00,947.64
12,9:00,959.34
13,9:00,995.04
14,9:00,936.53
15,9:00,900.54
16,9:00,845.24
17,9:00,796.34
18,9:00,705.34
19,9:00,881.54
20,9:00,752.24
21,9:00,777.64
22,9:00,738.84
23,9:00,840.64
24,9:00,867.34
25,9:00,840.04
26,9:00,860.94
27,9:00,909.54
28,9:00,875.94
29,9:00,724.54
30,9:00,929.14
31,9:00,732.64
1,10:00,736.24
2,10:00,863.34
3,10:00,848.64
4,10:00,914.44
5,10:00,778.04
6,10:00,858.54
7,10:00,927.64
8,10:00,843.64
9,10:00,895.37
10,10:00,961.04
11,10:00,917.04
12,10:00,929.14
13,10:00,915.84
14,10:00,965.04
15,10:00,811.74
16,10:00,822.84
17,10:00,660.84
18,10:00,717.94
19,10:00,923.54
20,10:00,796.34
21,10:00,866.04
22,10:00,733.24
23,10:00,872.54
24,10:00,907.44
25,10:00,884.64
26,10:00,925.84
27,10:00,951.54
28,10:00,918.84
29,10:00,735.74
30,10:00,904.74
31,10:00,738.94
1,11:00,736.44
2,11:00,878.84
3,11:00,897.84
4,11:00,893.74
5,11:00,722.84
6,11:00,897.44
7,11:00,841.94
8,11:00,838.34
9,11:00,945.24
10,11:00,936.74
11,11:00,947.34
12,11:00,919.74
13,11:00,928.04
14,11:00,907.94
15,11:00,805.34
16,11:00,863.44
17,11:00,714.44
18,11:00,731.14
19,11:00,909.84
20,11:00,823.34
21,11:00,881.14
22,11:00,744.24
23,11:00,910.24
24,11:00,925.44
25,11:00,889.74
26,11:00,942.54
27,11:00,930.24
28,11:00,824.24
29,11:00,733.74
30,11:00,919.24
31,11:00,807.24
1,12:00,724.44
2,12:00,889.84
3,12:00,911.04
4,12:00,902.14
5,12:00,780.74
6,12:00,897.34
7,12:00,864.44
8,12:00,844.94
9,12:00,937.54
10,12:00,934.45
11,12:00,993.14
12,12:00,936.44
13,12:00,847.04
14,12:00,888.84
15,12:00,750.44
16,12:00,864.64
17,12:00,710.64
18,12:00,734.64
19,12:00,886.64
20,12:00,808.54
21,12:00,865.84
22,12:00,741.44
23,12:00,730.94
24,12:00,938.73
25,12:00,903.64
26,12:00,838.84
27,12:00,920.74
28,12:00,800.0
29,12:00,738.74
30,12:00,917.84
31,12:00,801.04
1,13:00,698.64
2,13:00,883.34
3,13:00,908.14
4,13:00,822.94
5,13:00,123.74
6,13:00,879.64
7,13:00,881.34
8,13:00,832.64
9,13:00,922.14
10,13:00,935.14
11,13:00,952.14
12,13:00,957.14
13,13:00,882.54
14,13:00,911.14
15,13:00,734.34
16,13:00,848.14
17,13:00,762.64
18,13:00,711.84
19,13:00,876.53
20,13:00,818.24
21,13:00,840.54
22,13:00,735.24
23,13:00,731.34
24,13:00,919.54
25,13:00,897.64
26,13:00,856.74
27,13:00,925.14
28,13:00,791.14
29,13:00,707.34
30,13:00,907.84
31,13:00,829.74
1,14:00,690.54
2,14:00,885.64
3,14:00,1000.44
4,14:00,888.64
5,14:00,866.44
6,14:00,912.64
7,14:00,913.64
8,14:00,844.94
9,14:00,907.54
10,14:00,899.34
11,14:00,958.54
12,14:00,947.94
13,14:00,912.84
14,14:00,915.74
