year,month,hscode,description,unit,quantity,value,revenue
2077,4,85161000.0,Electric instantaneous or storage water he  ters and immersion heaters,PCS,2348.0,5957.08455151367,1780.493
2077,4,85162100.0,Electric storage heating radiators   .,PCS,25.0,25.163970703125,7.538
2077,4,85162900.0,"Electric space heating and soil heating ap  aratus, nes",PCS,2130.0,4825.66745428467,1416.236
2077,4,85163100.0,Electro-thermic hair dryers   .,PCS,23129.0,8351.54361466217,2516.806
2077,4,85163200.0,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,6375.0,2311.80911758423,692.46
2077,4,85163300.0,Electro-thermic hand-drying apparatus   .,PCS,9621.0,1335.18423863983,445.026
2077,4,85164000.0,Electrical smoothing irons   .,PCS,6410.0,2997.00811801147,826.789
2077,4,85165000.0,Microwave ovens   .,PCS,460.0,4513.25293730164,959.121
2077,4,85166010.0,Induction stove,PCS,28978.0,43449.8874648437,8139.032
2077,4,85166020.0,Rice cooker,PCS,15376.0,14503.6535583801,4068.868
2077,4,85166030.0,"Electric Kettle, jug use for boiling water",PCS,885.0,299.740122467041,89.541
2077,4,85166090.0,"Other ovens, cooking plates, boiling rings, grillers & roaster",PCS,13462.0,3883.52877632141,1163.29
2077,4,85167100.0,Electro-thermic coffee or tea makers  . .,PCS,8.0,65.1047400360107,19.572
2077,4,85167200.0,Electro-thermic toasters  . .,PCS,27.4000000059605,40.3809606323242,13.071
2077,4,85167910.0,Electric insect trap,PCS,440.0,119.5627890625,25.405
2077,4,85167990.0,Other electro thermic appliances,PCS,5178.0,4814.83490371704,1430.947
2077,4,85168000.0,Electric heating resistors (excl those of   545).,PCS,50691.0,8632.38792526245,2751.818
2077,4,85169000.0,Parts of electro-thermic appliances,PCS,230297.100000001,5043.1098916626,946.063
2077,4,87032119.0,Auto rickshaw (three wheeler) <=1000 cc,PCS,46.0,7200.32975,9005.441
2077,4,87032199.0,Other vehicles having capacity <=1000CC,PCS,92.0,62499.627375,138188.531
2077,4,87032290.0,Other vehicle (Petrol engine) capacity >1000CC to <=1500CC,PCS,435.0,345282.59778125,799653.832
2077,4,87032319.0,Other vehicles (Petro engine) >1500CC to <=2000CC,PCS,22.0,47730.925875,117314.024
2077,4,87032490.0,Ambulance & Sab Bahan,PCS,1.0,896.051875,9.026
2077,4,87033190.0,Other vehicle  (Diesel engine) capacity upto 1500CC,PCS,67.0,73942.586,163488.333
2077,4,87033219.0,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,34.0,59726.021875,145296.928
2077,4,87033229.0,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,9.0,15481.4895,24720.91
2077,4,87033390.0,Vehicles of a cylinder capacity exceeding 2500 cc,PCS,4.0,14152.709,27697.049
2077,4,87038019.0,Electric three wheelers vehicles,PCS,56.0,5188.897515625,1891.36
2077,4,87021010.0,Bus (with a capacity 26 seats and above) (  iesel or semi diesel engine).,PCS,24.0,46739.64625,20992.636
2077,4,87021020.0,Mini-bus (15 - 25 seats)  . .,PCS,3.0,5574.448,5450.419
2077,4,87022010.0,Buses (with a capacity  more than 25 seats),PCS,1.0,1425.335,747.872
2077,4,87029049.0,"Other Jeep, car & van ABOVE 2000 CC",PCS,5.0,2825.27,6246.761
2077,4,87112011.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,1836.0,173843.8185,154316.356
2077,4,87112019.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,1.0,152.462796875,0.065
2077,4,87112091.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,4816.0,378764.070328125,391444.504
2077,4,87112099.0,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,1572.0,211460.69328125,250248.333
2077,4,87113090.0,"250 - 400cc Reciprocating Engine Motorbike,Motrcycle",PCS,205.0,32672.875203125,43269.126
2077,4,87116090.0,With electric motor for propulsion,PCS,40.0,4800.8285,1166.734
2077,5,85161000.0,Electric instantaneous or storage water he  ters and immersion heaters,PCS,33744.8523998857,11106.07918103023,3362.2999999999997
2077,5,85162100.0,Electric storage heating radiators   .,PCS,0.0,0.0,0.0
2077,5,85162900.0,"Electric space heating and soil heating ap  aratus, nes",PCS,13387.0,10017.12876450343,3133.9710000000005
2077,5,85163100.0,Electro-thermic hair dryers   .,PCS,33107.0,10686.44092048643,3260.221
2077,5,85163200.0,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,8498.0,5638.1807970275895,1709.2089999999998
2077,5,85163300.0,Electro-thermic hand-drying apparatus   .,PCS,372.0,392.79996154785,125.70199999999994
2077,5,85164000.0,Electrical smoothing irons   .,PCS,4115.0,1973.5325534973204,499.38200000000006
2077,5,85165000.0,Microwave ovens   .,PCS,4172.0,27785.68640075686,7531.268999999999
2077,5,85166010.0,Induction stove,PCS,16392.0,25169.524579712008,4705.661999999999
2077,5,85166020.0,Rice cooker,PCS,33052.0,33358.435534912096,10069.627999999999
2077,5,85166030.0,"Electric Kettle, jug use for boiling water",PCS,21107.0,10215.04188000486,3137.7599999999998
2077,5,85166090.0,"Other ovens, cooking plates, boiling rings, grillers & roaster",PCS,17897.0,19303.30891752629,5817.735
2077,5,85167100.0,Electro-thermic coffee or tea makers  . .,PCS,9040.0,3742.000796752929,1156.1200000000001
2077,5,85167200.0,Electro-thermic toasters  . .,PCS,60.99999999999999,72.7587506790158,22.147000000000006
2077,5,85167910.0,Electric insect trap,PCS,8731.0,2547.26518896484,764.402
2077,5,85167990.0,Other electro thermic appliances,PCS,67220.0,16419.93552230836,5589.704
2077,5,85168000.0,Electric heating resistors (excl those of   545).,PCS,21574.0,3949.4480392608493,1188.0529999999999
2077,5,85169000.0,Parts of electro-thermic appliances,PCS,380549.67180001794,8585.5397094536,1617.5729999999999
